array_type,size,algorithm,kind,time_ms,char_ops
random,1900,StringQuickSort,specialized,0.241025,22489
random,1900,StringMergeSort,specialized,1.232317,16603
random,1900,MsdRadixSort,specialized,0.335756,4147
random,1900,MsdRadixQuickSort,specialized,0.280667,10720
random,2000,StandardQuickSort,standard,0.323756,31539
random,2000,StandardMergeSort,standard,1.152161,27169
random,2000,StringQuickSort,specialized,0.239673,21266
random,2000,StringMergeSort,specialized,1.321154,17546
random,2000,MsdRadixSort,specialized,0.349097,4386
random,2000,MsdRadixQuickSort,specialized,0.288290,11398
random,2100,StandardQuickSort,standard,0.334959,32886
random,2100,StandardMergeSort,standard,1.235230,28819
random,2100,StringQuickSort,specialized,0.299429,24583
random,2100,StringMergeSort,specialized,1.490729,18580
random,2100,MsdRadixSort,specialized,0.354203,4617
random,2100,MsdRadixQuickSort,specialized,0.309711,12197
random,2200,StandardQuickSort,standard,0.357449,35991
random,2200,StandardMergeSort,standard,1.291173,30532
random,2200,StringQuickSort,specialized,0.279788,26852
random,2200,StringMergeSort,specialized,1.456523,19590
random,2200,MsdRadixSort,specialized,0.361301,4793
random,2200,MsdRadixQuickSort,specialized,0.330851,13059
random,2300,StandardQuickSort,standard,0.383320,41020
random,2300,StandardMergeSort,standard,1.343665,32226
random,2300,StringQuickSort,specialized,0.288913,26537
random,2300,StringMergeSort,specialized,1.492351,20630
random,2300,MsdRadixSort,specialized,0.362924,5031
random,2300,MsdRadixQuickSort,specialized,0.338570,13711
random,2400,StandardQuickSort,standard,0.392022,40814
random,2400,StandardMergeSort,standard,1.442043,34051
random,2400,StringQuickSort,specialized,0.267256,27101
random,2400,StringMergeSort,specialized,1.579584,21759
random,2400,MsdRadixSort,specialized,0.395901,5266
random,2400,MsdRadixQuickSort,specialized,0.354722,14627
random,2500,StandardQuickSort,standard,0.408732,41701
random,2500,StandardMergeSort,standard,1.511285,35716
random,2500,StringQuickSort,specialized,0.324820,30271
random,2500,StringMergeSort,specialized,1.595830,22690
random,2500,MsdRadixSort,specialized,0.385994,5504
random,2500,MsdRadixQuickSort,specialized,0.354354,15439
random,2600,StandardQuickSort,standard,0.424225,48238
random,2600,StandardMergeSort,standard,1.591103,37471
random,2600,StringQuickSort,specialized,0.310610,33994
random,2600,StringMergeSort,specialized,1.643674,23798
random,2600,MsdRadixSort,specialized,0.410647,5751
random,2600,MsdRadixQuickSort,specialized,0.410688,16434
random,2700,StandardQuickSort,standard,0.485060,48463
random,2700,StandardMergeSort,standard,1.669536,39083
random,2700,StringQuickSort,specialized,0.354093,31258
random,2700,StringMergeSort,specialized,1.818374,24708
random,2700,MsdRadixSort,specialized,0.438356,5998
random,2700,MsdRadixQuickSort,specialized,0.429821,16876
random,2800,StandardQuickSort,standard,0.484424,51636
random,2800,StandardMergeSort,standard,1.731289,40953
random,2800,StringQuickSort,specialized,0.363801,32186
random,2800,StringMergeSort,specialized,1.932696,25913
random,2800,MsdRadixSort,specialized,0.440752,6243
random,2800,MsdRadixQuickSort,specialized,0.437793,17771
random,2900,StandardQuickSort,standard,0.492125,49813
random,2900,StandardMergeSort,standard,1.740100,42699
random,2900,StringQuickSort,specialized,0.381554,32479
random,2900,StringMergeSort,specialized,2.032163,26869
random,2900,MsdRadixSort,specialized,0.463215,6492
random,2900,MsdRadixQuickSort,specialized,0.463752,18341
random,3000,StandardQuickSort,standard,0.512261,52487
random,3000,StandardMergeSort,standard,1.895919,44477
random,3000,StringQuickSort,specialized,0.405568,35989
random,3000,StringMergeSort,specialized,2.120235,27934
random,3000,MsdRadixSort,specialized,0.463662,6739
random,3000,MsdRadixQuickSort,specialized,0.465595,19405
reverse,100,StandardQuickSort,standard,0.005457,996
reverse,100,StandardMergeSort,standard,0.015803,693
reverse,100,StringQuickSort,specialized,0.003628,656
reverse,100,StringMergeSort,specialized,0.018054,378
reverse,100,MsdRadixSort,specialized,0.009918,273
reverse,100,MsdRadixQuickSort,specialized,0.007354,531
reverse,200,StandardQuickSort,standard,0.010448,2207
reverse,200,StandardMergeSort,standard,0.037014,1501
reverse,200,StringQuickSort,specialized,0.008031,1410
reverse,200,StringMergeSort,specialized,0.043537,778
reverse,200,MsdRadixSort,specialized,0.022414,464
reverse,200,MsdRadixQuickSort,specialized,0.014933,1092
reverse,300,StandardQuickSort,standard,0.016415,3461
reverse,300,StandardMergeSort,standard,0.066660,2281
reverse,300,StringQuickSort,specialized,0.012812,2245
reverse,300,StringMergeSort,specialized,0.082734,1148
reverse,300,MsdRadixSort,specialized,0.020943,698
reverse,300,MsdRadixQuickSort,specialized,0.015081,1623
reverse,400,StandardQuickSort,standard,0.013141,4891
reverse,400,StandardMergeSort,standard,0.057250,3165
reverse,400,StringQuickSort,specialized,0.009225,3117
reverse,400,StringMergeSort,specialized,0.080958,1568
reverse,400,MsdRadixSort,specialized,0.025503,908
reverse,400,MsdRadixQuickSort,specialized,0.019538,2169
reverse,500,StandardQuickSort,standard,0.015834,6179
reverse,500,StandardMergeSort,standard,0.080029,3861
reverse,500,StringQuickSort,specialized,0.011450,4022
reverse,500,StringMergeSort,specialized,0.099070,1884
reverse,500,MsdRadixSort,specialized,0.033550,1138
reverse,500,MsdRadixQuickSort,specialized,0.026873,2735
reverse,600,StandardQuickSort,standard,0.018637,7530
